id,text,target,username
0,"Vatan Telefon Kredisi için başvuruyorum, Kredi başvurunuzu bankamız veri tabanında kredi performansınıza ilişkin yeterli bilgi olmaması nedeniyle şu anda olumlu değerlendiremiyoruz uyarısı ile karşılaşıyorum. Bu mesajın detayı nedir, nasıl yararlanabilirim bilmiyorum. Müşteri hizmetleri hem sık sık ...",Diğer,Elif
5,Bankalarda bulunan sicil kaydının 01.10.2022 tarihinde çıkan sicil afin dan yararlanmak istiyorum Haziran ayında tüm borcumu ödedim kapatım icra dosyamı kapatım ama hiçbir şekilde bankalardan onaylamıyor sizlerden ricam yeni çıkan sicil affından yararlanmak istiyorum en kısa sürede teşekkürler ☺️,Diğer,Elif
6,07.10.2022 de yürürlüğe giren kanun ile madde tarihli ve 5411 sayılı kanunun 1. Maddesi uyarınca karşılıksız çek ve protestolu senetler ile kredi ve kredi kartları borçlarına ilişkin kayıtların dikkate alınmaması hakkında kanuna aşağıdaki geçici madde ilave edilmiştir. “geçici madde 3 - (1) anapara ...,Diğer,Elif
7,"Türkiye'de faaliyet gösteren tüm devlet ve özel bankalar nezdinde borcumun olmamasına rağmen kredi, kredi kartı KMH başvurularım reddedilmektedir. 01.10.2022 tarihinden itibaren sicil affım ile KKB ® puanımın kredi, kredi kartı ve KMH olarak başvuruların kabul edilmesini talep ediyorum. Tarihinden ö...",Diğer,Elif
8,VakıfBank SWİFT ücret 2500 para kesti insanları bu şekilde bu ekonomide yazık günah değil mi herkes parayı kolay kazanmıyor geri iade edilmesini istiyorum. Hesabıma ben parayı yoldan bulmadım. Bu şekilde banka insanlara hizmet vermesin verecekse eğer bu kadar kesinti nedir ya,Diğer,Elif
10,Papara hesabıma Ziraat Bankası'ndan bir. Havale gerçekleştirdim Ve Papara hesabıma hala bir para gelmedi. Bu durum için ne yapmam gerekiyor. Yardımcı olabilir misiniz. Papara Papara Papara Papara Papara Papara Papara Papara Papara Papara Papara Papara Papara Papara,Diğer,Elif
16,"Findeks puanım, kredi kartlarımın limitlerin artmasına ve borçları gününde ödememe rağmen artmıyor. Yaklaşık 2 yıldır çok düşük bir seviyede. Farklı bankalar bana bu yüzden kredi kartı vermemektedir. Bu sorunun çözülmesi için yardımlarınızı rica ediyorum.",Diğer,Elif
17,Talep etmediğim halde VakıfBank limit arttırımı yapıyor. Onayım olmadan bu işlemi neden gerçekleştiriyor sunuz. Sizin yüzünden diğer banka kartlarımda limit sorunu yaşıyorum. Arttırılan limitin hemen geri alınmasını istiyorum aksi halde kredi kartını iptal edeceğim bilginiz olsun,"Limit(Hesap, KMH, Kredi Kartı)",Elif
18,Eve getirmediği kredi kartını işini savsakladığını gizlemek için banka sistemlerine adresine uğradık. Şahsı adreste bulamadık şeklinde mesaj düşüren kurye ayrıca telefonla kendisini aradığımızda ev adresi vermiş olmamıza rağmen iş yeri adresi isteyip evde diretince biz bu hafta içinde getireceğiz şe...,Kargo,Elif
19,"Papara hesabıma para yüklemek için hesabıma banka kartımı kaydetmek istiyorum fakat 1₺ tutarındaki kayıt işlemi sonrasında işlem başarısız oluyor, ve ...",Kargo,Elif
20,"VakıfBank bankomat kartta yapılan ""4 kez 250 TL akaryakıt alışverişine 75 TL bankomat para""kampanyasında sorun yaşadım. Son alışverişim banka uygulamasında ""... Petrol"" olarak gözükmesine rağmen kampanyaya dahil edilmemiş. Müşteri hizmetlerine durumu sorduğumda pos cihazı kodunun çeşitli yiyecek ola...",Diğer,Elif
21,"VakıfBank kampanya düzenliyor
2000 push teklifi yapıyor
Click kart ve sonrası bana ret geliyor ve benim herhangi bir sıkıntım yok bankalarla. Kredi notumu düşürüyor ret vererek.
Beni o zamana bu kampanyaya sokmayın. Red vereceksiniz. Bir an önce çözülmesini istiyorum.",Diğer,Elif
22,VakıfBank maaş müşterisiyim ve İnternet bankacılığı kullanıyorum yatırım hesabı açtım ve borsada işlem yapıp hisse senedi aldım fakat benden her ay 3 TL komisyon ve saklama ücreti kesiliyor hisse senedi satışında zaten banka komisyon alıyor kesilen paraların iadesini talep ediyorum,Diğer,Elif
23,QNB Finansbank'tan kullanmış olduğum kredi ödememde kredi faiz oranında artış olduğu söylenip ödediğim kredi tutarını arttırarak değiştirmişlerdir. Ben krediyi çekeli yaklaşık 8 ay kadar olmuştur. Kredi tutarımın eski haline getirilmesini aksi halde Tüketici Hakları'na kadar gideceğimi bildirmek ist...,Diğer,Elif
26,07.10.2022 de yürürlüğe giren kanun ile madde tarihli ve 5411 sayılı kanunun 1. Maddesi uyarınca karşılıksız çek ve protestolu senetler ile kredi ve kredi kartları borçlarına ilişkin kayıtların dikkate alınmaması hakkında kanuna aşağıdaki geçici madde ilave edilmiştir. “geçici madde 3 - (1) anapara ...,KKB Skor,Elif
27,MNG Kargo'dan 26 Ekim de gelen kapıda ödemeli kargomuzun teslimi sırasında o gün sistem arızası olduğu söylenen nedenden dolayı banka kartımdan 414 TL fazla tahsilat yaptılar. Hatayı kabul etmelerine rağmen 1 haftadır para iadem gerçekleşmedi. Acil çözüm talep ediyorum,KKB Skor,Elif
28,QNB ATM den günlük para çekme limitini arttırmadıkları için ödemelerim gecikiyor müşteri hizmetleri ile yaptığım görüşmelerden de sonuç alamadım. İnsanın kendi parasını çekememesi gerçekten çok saçma bir durum. İş yeri bu banka ile çalıştığını için mağdur oluyoruz,Diğer,Elif
29,VakıfBank word karttan iznim dışında yurt dışı 94usd işlem yapıldığını gördüm hemen VakıfBank'ı aradım işlem henüz provizyonda görünüyordu Amerika'da bir araba parçası alındığını gördüm bankaya gittim bununla alakalı form doldurdum ve yetkililerle görüştüm 2aydır cevap bekliyorum mağduriyet yaşıyoru...,Diğer,Elif
32,"Maaş müşterisi olduğum ve hiçbir işlem ücreti ödemediğim VakıfBank, bugün kendime ait başka banka hesabına para göndermem sonucu 61 TL masraf kesti. Daha önce daha yüksek tutarlarda bile ücret ödemedim. Tutarın tarafıma iadesini talep ediyorum. İyi çalışmalar",Diğer,Elif
33,"Yapı Kredi hesabımdan Mefete hesabıma transfer ettiğim param Mefete hesabıma gelmiyor 

Mefete hesap no 9437244062
Acil yardımcı olursanız sevinirim
Gösterdiği şekilde vermiş olduğu bilgileri girerek yatırım yaptım neden geçmiyor hesaba 
Böyle bir saçmalık olamaz",Diğer,Elif
36,"Denizbank kredi kartımla yapmış olduğum yurt dışı alışverişinde sebebi açıklanamayan kur farkı nedeniyle yaklaşık 1000 TL zararım bulunmaktadır. Alışveriş yapmış olduğum tutar 1099 Pound ve onay bekleyen işlemlerde 23.331,14 TL idi.
Harcama dönemiçi işlemlere düştüğünde 24.406,13 TL olarak yansıdı.
...",Kredi İşlemleri,Elif
41,Maaş müşterisi olmam halinde halen daha ek hesap veya kredi kartı alamıyorum. Diğer bankalar kart verirken QNB Finansbank hiç umursamıyor. Başvuru yaptığım zaman beni şubelere yönlendiriyorlar. Daha önceden yaşamış olduğum bazı banka sıkıntıları yüzünden kart verilmediğini belirtiyorlar,KKB Skor,Elif
44,"İş Bankası'nda kur korumalı mevduat hesabı açmıştım. Vade dolunca sadece faiz ödemesi yapılıp, kur farkından olan ödeme tarafıma yapılmamıştır. Banka ile yapmış olduğum görüşme ile kayıt oluşturulmasına rağmen 1 haftadır sorunum çözülmemiştir. Bu bağlamda Bankadan şikayetim var.",Diğer,Elif
46,Vivense'den ürün sipariş ettim üye olmadan devam ettim sipariş için ücreti öderken hata aldım. Banka hareketlerine bakınca parayı kesmiş ama siparişi vermemiş. Müşteri hizmetlerini aradım telesekreter sürekli farklı bir yere yönlendiriyor muhatap bulamıyorum.,Kargo,Elif
50,İş Bankası altıyol şubesini arıyorum ulaşamıyorum mesaj atıyorum ulaşamıyorum beni arayın diyorum arayan yok bireysel bankacılıkla görüşme yapacağım görüşemiyorum bir çok kez aradım şikayet etmek istemezdim başka yol bırakmadılar müşteri seçiyorlar sanırım,Kart İşlemleri,Elif
52,Kredi kartı yapılandırma borcu bittiğinde kartınız kullanıma açılacaktır denilmişti. Hızır borç yapılandırma yapmıştım borcu yeni bitti ama kartımı kullanıma açmıyorlar madem açılmayacaktı neden baştan söylemiyorsunuz yapılandırma yapmazdım. Müşteri hizmetleri ilgilenmiyor.,Kart İşlemleri,Elif
55,İş Bankası'nın kaç yıllık eski çalışanıydım ve üniversiteden itibaren de müşterisiydim. İstifa ettikten 2 ay sonra kartıma hemen kredi kartı aidatı yansıtıldı. İade istedim etmediler. Müşteri temsilcisine durumu anlattım ama yapabileceği bir şey yokmuş. Yıllardır aktif kullandığım kartımı iptal etti...,Diğer,Elif
58,Halkbank SMS güvenlik kontrolü nedeni ile şubeye başvurun diyor müşteri hizmetlerine bağlanılmıyor halk banka ait kartım yok ATM'den işlem yapamıyorum mobilden veya PC üzerinden herhangi bir SMS alma işlemi yapmama izin vermiyor müşteri hizmetleri ne ulaşamıyorum,Müşteri Temsilcisi,Elif
60,"İş Bankası Maximum kart ile size özel 250 TL MaxiPuan adı altında 12000 liralık alışveriş yapın kazanın diye mesaj geldi. Belirtilen gün aralığında 16000 liralık alışveriş yaptım. Maxipuanı yatırmıyorlar. Aradım
 kampanya detaylarında sektör bilgisi vermemesine rağmen belirtilen sektör alışverişleri...",Diğer,Elif
61,"VakıfBank mobil bankacılıktan Cepte Kazan işlemi ile ilgili 31.10.2022 günü Beyaz Eşya, Mobilya, Elektronik ve Yapı alışverişinizde her 2000 TL alışverişinize 100 TL, toplamda 200 TL worldpuan hediye kampanyasına katıldım. Aynı gün yani 31.10.2022 günü Media Markt isimli firmadan internet üzerinden ...",Kart İşlemleri,Elif
62,07.10.2022 de yürürlüğe giren kanun ile madde tarihli ve 5411 sayılı kanunun 1. Maddesi uyarınca karşılıksız çek ve protestolu senetler ile kredi ve kredi kartları borçlarına ilişkin kayıtların dikkate alınmaması hakkında kanuna aşağıdaki geçici madde ilave edilmiştir. “geçici madde 3 - (1) anapara ...,Kart İşlemleri,Elif
63,İş cephe son zamanlarda giriş yapamıyorum hata verip bağlantınızı kontrol edin diyor ama diğer banka hesaplarıma giriş yapabiliyorum bu konuda çok mağdur oldum ne havale ne EFT yapabildim anlayacağınız içerideki paramı kullanamıyorum lütfen acil çözüm bulunsun,Müşteri Temsilcisi,Elif
64,QNB maaş hesabıma mobil giriş yapamıyorum. Buna da gerekçe olarak geçmişte Enpara'da olan bir hesabıma bloke yapılmasından dolayı QNB de de bu engellemenin yapıldığı söyleniyor. Maaş hesabı olduğu için mecburen bu banka ile çalışmam gerekiyor. Sürekli maaş çekmek için şubeye gitmem gerektiğinden sor...,Kredi İşlemleri,Elif
67,"2020 yılda Migros'tan telefon almak için ING Bank'tan kredi çektim kredinin her taksitini ödedim. Ödemelerimi bitirdim, fakat 35 kuruş borç kalmış. Bunun için beni KKB'ye kadar götürmüşler ve bu olanlardan benim bugün haberim oldu. 35 kuruş için ne beni arayan var ne de başka bir şey. Bir insanın KK...",Kredi İşlemleri,Elif
69,"2020 yılda Migros'tan telefon almak için ING Bank'tan kredi çektim kredinin her taksitini ödedim. Ödemelerimi bitirdim, fakat 35 kuruş borç kalmış. Bunun için beni KKB'ye kadar götürmüşler ve bu olanlardan benim bugün haberim oldu. 35 kuruş için ne beni arayan var ne de başka bir şey. Bir insanın KK...",Kredi İşlemleri,Elif
70,"Gönderilen banka kartımın 1 haftadır Yenikent Kuryenet tarafından dağıtma çıkmasının bekliyorum müşteri hizmetlerini aradığım zaman karşımda bir muhatap bulamıyorum 
Randevu oluşturuldu deniliyor ama hâlâ kartım elime ulaşmadı yetkililer tarafından kimseye ulaşılamıyor mağdur ediliyoruz burada",Kargo,Elif
71,Akbank mobil bankacılık aracılığıyla çekmiş olduğum kredi karşılığında hayat sigortası ücreti kesilmiştir. Poliçe numarası v93**613-57 olan ve Agesa tarafından uygulanan sigortamın devam etmemesini ve sigortanın iptalinden doğan ücretin hesabıma iadesini talep ediyorum. Sigortacılık mevzuatı gereği ...,Kredi İşlemleri,Elif
72,Banka hesabımdan Payfix hesabıma para yatırdım işlem iptal etmek istiyorum. Destek hattına dekontu attım ama bir geri dönüş alamadım sadece işlem sırasına girdi dendi paramı dekonttaki ibana geri atılmasını istiyorum a***@gmail.com adresine kayıtlı Payfix hesabım.,Kredi İşlemleri,Elif
73,Para transfer EFT havale SWİFT işlemlerinde ücret kesilmeyecek dediler banka personeli m** hanım ve y** hanım beni zarar uğrattı ne biçim banka yazıklar olsun çalışanlarına yağla balla yanıltıp bankaya getirtip bu şekilde işlem yaptılar beni mağdur ettiler. Hakkımı helal etmiyorum arabamla Konya'ya ...,Müşteri Temsilcisi,Elif
74,Trabzon Meydan ING Bank kadar müşterilerine saygısız bir banka görmedim. İşlem yapmak için sıra aldım. Gişede çalışanlar o kadar rahat bekleyen müşteriler hiç umurumda değil. Bir sürü insan gişede çalışanların yüzünden gerildi. Bir de tepki gösterince bu umursamazlığa tepki veriyorlar. Meydan gibi m...,Müşteri Temsilcisi,Elif
75,"Denizbank kadar kötü paracı bir banka görmedim. Hiçbir çalıştığım bankayla böyle sorun yaşamadım. Sürekli hesaptan kafalarına göre yok faiz tahsilatı, yok vergi tahsilatı adı altında, onayım dışında bir suru paramı yediler. Üstelik her ay asgari tutarların üstünde para yatırıp, işlem yaptığım halde ...",Müşteri Temsilcisi,Elif
76,Bireysel bankacılık ve sicil affı kanunu dahilinde 07.10.2022 de yürürlüğe giren kanun ile madde tarihli ve 5411 sayılı kanunun 1. Maddesi uyarınca karşılıksız çek ve protestolu senetler ile kredi ve kredi kartları borçlarına ilişkin kayıtların dikkate alınmaması hakkında kanuna aşağıdaki geçici mad...,Diğer,Elif
77,01.11.2022 tarihi 20:21 civarı Papara hesabıma banka havalesi ile para yatırma işlemi yaptığım halde hesabıma yüklenmedi. Mail yoluyla yazdım geri dönüş yapılmadı. Müşteri hizmetleri 20 dakikadır bağlanıyorum. İnanın mağduriyetten başka bir şey değil.,Diğer,Elif
78,"Sicil Geçmişi Düzeltilmesi! 
Geçmişe dönük bütün borçlarımı ödeyip kapattım şu an gecikmem yok ama kredi kayıt bürosunca puanım düşük ve sicilim bozuk olarak gözüküyor hala bunun kaldırılmasını talep ediyorum. 
Kredi Kayıt Bürosu Kredi Sicil Affından Yararlanmak İstiyorum. 
Bireysel bankacılık ve si...",KKB Skor,Elif
79,"İş Bankası emekli getirene promosyon için 250 MaxiPuan yatıracağını söyledi. Promosyon ücreti yatmasına rağmen 250 MaxiPuan yatmadı. Söylenen adımları yapmama rağmen (mesaj vs.) hala bir yatan bir puan yok. Yardımcı olunmasını, Çözüm bulunmasını istiyorum.",KKB Skor,Elif
80,Bugün itibari ile ne borcum var ne de kredim ® var ne de kredi kartı kullanıyorum. Bunlar olmamasına rağmen 5 yıl bekleyip KKB kayıtlarını güncellemek çok kötü bir durum. Tekrar tekrar yazıyorum KKB kayıtlarının aşağıdaki yazıya istinaden güncellenmesi gerektiğini talep ediyorum. Tarafıma herhangi b...,KKB Skor,Elif
81,Böyle bir şey yok kıyamet gibi sıra var bir senet ödeyeceğim bir saat bekledim sadece bir kişi gişede diğer bireysel grubunda çalışanlar oje sürüyor biri simit yiyor biz de bekliyoruz böyle bir şey yok gidin içeride halledin işinizi biz orada beklerken bilerek yapar gibi böyle laubali bir banka yok ...,KKB Skor,Elif
82,"Kızım için okul kıyafeti almıştım beden küçük geldiği için iade ettim.
13.09.22 tarihte kargoyla göndermiştim 50 gün oldu parası halen iade edilmedi neymiş efendim bankadan bankaya fark ediyormuş birkaç gün daha bekleyin diyerek oyalıyorlar bu nasıl bir sistem anlamadım.",Diğer,Elif
83,6 yıldır QNB Finansbank kredi kartını kullanmaktayım. 6 yıldır ödemelerimi düzenli yapıyorum bir kere bile banka tarafından aranmadım tahsilat konusunda. Bu tutumuma karşılık her yıl düzenli olarak kart aidat ücreti kesip şikayetim sonrası bu talebi geri çekiyorsunuz. Şu anda bu yansıtmış olduğunuz ...,Diğer,Elif
84,"Yıllardır uçak biletlerimi aldığım, ayrıca kredi kartı olarak da kullandığım ve düzenli ödediğim kredi kartım için bankanızın benden 125 TL ""Yıllık Üyelik Bedeli""alması gerçekten çok üzücü. Her banka kedi kartı için belli bir harcama sözüne yıllık kart / üyelik bedellerinden vazgeçiyor. Pegasus kart...",Kart İşlemleri,Elif
85,Ankara içinde saat 10 da çalışma saati içinde 11 adet İş Bankası şubesini aramama rağmen bir tanesi bile açılmadı. Şubelere gittiğimde hiçbirinde 100k üzeri nakit bulunmadığı için önceden ayırtmam gerektiğini söylüyorlar. Ama telefonlar açılmıyor şubeye gitsem para yok bankadaki paramızı kullanamıyo...,Kart İşlemleri,Elif
86,Bütün kredi ve kredi borçlarımı kapatmama rağmen Findeks ve risk raporu sorguladığımda hala kredi ve kredi kartı borcum var gözüküyor bu yüzden dolayı bankalarda kredi ve kredi kartı sıkıntısı yaşıyorum bunun düzeltilmesini rica ediyorum teşekkürler.,KKB Skor,Elif
87,Findeks kredi notu hesaplanmadı ibaresi mevcut. Hiçbir bankaya borcum olmadığı halde gecikmeli ürünüm olmadığı halde bankalardan ne kredi kullanabiliyorum ne de kredi kartı alabiliyorum. Bu yanlışlığın acilen düzeltilmesini talep ediyorum çevremde onlarca insan onlarca kredi kartı kullanıyor hala ye...,KKB Skor,Elif
88,01.11.2022 tarihinde ING bankasından ihtiyaç kredisi çektim. Krediyi çekebilmek içinde sigorta şartı olduğunu söylediler. Onayladım 26230498 numaralı ...,Kredi İşlemleri,Elif
89,Denizbank'ın her sene uyguladığı kart aidat ücretinin bir yenisi daha insanlara kartı verirken hiçbir şekilde aidat ücretini ödemeyeceksiniz diye yanıltıp sonra istediği miktarı kesen bir banka. Kart aidat ücretini geri yatırın yazıktır günahtır.,Kredi İşlemleri,Elif
90,"Para çekim talebini 25-30 dakika diyorlar. Tam 1 saat oldu müşteri temsilcileri ise saçma açıklamalar yapıyor, banka güncellemesi yok yoğunluk böyle b...",Müşteri Temsilcisi,Elif
91,Akbank mobil bankacılık aracılığıyla çekmiş olduğum kredi karşılığında hayat sigortası ücreti kesilmiştir. Poliçe numarası V93242** olan ve Agesa tara...,Kredi İşlemleri,Elif
92,Çekmiş olduğum 18000 TL 15 ay vadeli kredi iyi 12 ayında erken kapattım. Yapmış oldukları v8853963 numaralı Agesa hayat sigortası ile ilgili geri kala...,Kredi İşlemleri,Elif
93,Türkiye burs bulma kurumundan kimlik fotoğrafı istediler önlü arkalı ve ikametgah fotoğrafı iznim olmadan ıslak imzam olmadan hakkımda hiçbir işlem ya...,Kredi İşlemleri,Elif
94,Hepsiburada.com mobil uygulaması üzerinden bot siparişi oluşturdum. Daha sonra ödeme aşamasında ING Bank alışveriş kredisi başvurusunda bulundum. Banka tarafından alışverişe istinaden talep ettiğim kredi onaylandı. Ancak Hepsiburada sipariş bölümünde siparişim görünmüyor. Müşteri hizmetlerini aradığ...,Kredi İşlemleri,Elif
